ID	汉字	拼音
1	吖	a1
2	阿	a1
3	阿	e1
4	啊	a1
5	锕	a1
6	錒	a1
7	嗄	a1
8	厑	ya2
9	哎	ai1
10	哀	ai1
11	唉	ai4
12	埃	ai1
13	挨	ai1
14	挨	ai2
15	欸	ai3
16	溾	ai0
17	锿	ai1
18	鎄	ai1
19	啀	ai0
20	捱	ai2
21	皑	ai2
22	凒	ai0
23	嵦	ai2
24	溰	ai0
25	嘊	ai0
26	敱	ai2
27	敳	ai0
28	皚	ai2
29	癌	ai2
30	毐	ai3
31	昹	ai0
32	娾	ai0
33	嗳	ai1
34	嗳	ai3
35	嗳	ai4
36	矮	ai3
37	蔼	ai3
38	躷	ai0
39	噯	ai1
40	噯	ai3
41	噯	ai4
42	濭	ai0
43	濭	ke0
44	藹	ai3
45	譪	ai0
46	霭	ai3
47	靄	ai3
48	艾	ai4
49	艾	yi4
50	伌	ai1
51	爱	ai4
52	砹	ai4
53	硋	ai0
54	隘	ai4
55	嗌	ai4
56	嗌	yi4
57	塧	ai0
58	嫒	ai4
59	愛	ai4
60	碍	ai4
61	叆	ai4
62	暧	ai4
63	瑷	ai4
64	僾	ai0
65	壒	ai0
66	嬡	ai4
67	懓	ai0
68	薆	ai0
69	懝	ai0
70	曖	ai4
71	璦	ai4
72	賹	ai0
73	賹	yi0
74	餲	ai4
75	餲	he2
76	鴱	ai4
77	皧	ai0
78	瞹	ai0
79	馤	jie2
80	礙	ai0
81	礙	yi0
82	譺	ai0
83	譺	yi0
84	鑀	ai0
85	鱫	ai4
86	靉	ai4
87	安	an1
88	侒	an0
89	峖	an1
90	桉	an1
91	氨	an1
92	庵	an1
93	菴	an1
94	谙	an1
95	媕	an1
96	萻	an1
97	葊	an1
98	痷	an1
99	痷	ye4
100	痷	e4
101	腤	an1
102	鹌	an1
103	蓭	an1
104	誝	an1
105	鞌	an1
106	鞍	an1
107	盦	an1
108	諳	an1
109	闇	an4
110	馣	an1
111	鮟	an1
112	盫	an1
113	鵪	an1
114	韽	an1
115	鶕	an1
116	玵	an1
117	啽	an2
118	雸	an2
119	垵	an3
120	俺	an3
121	唵	an3
122	埯	an3
123	铵	an3
124	隌	an3
125	揞	an3
126	晻	an4
127	罯	an3
128	銨	an3
129	犴	an4
130	犴	han1
131	岸	an4
132	按	an4
133	洝	an4
134	荌	an4
135	案	an4
136	胺	an4
137	豻	an4
138	堓	an4
139	婩	an4
140	暗	an4
141	貋	han4
142	儑	e4
143	錌	an4
144	黯	an4
145	肮	ang1
146	骯	ang1
147	岇	ang2
148	昂	ang2
149	昻	ang2
150	枊	ang4
151	盎	ang4
152	醠	ang4
153	凹	ao1
154	坳	ao4
155	垇	ao4
156	柪	ao3
157	柪	ao4
158	柪	niu4
159	軪	ao1
160	爊	ao1
161	敖	ao2
162	厫	ao2
163	隞	ao2
164	嗷	ao2
165	嗸	ao2
166	嶅	ao2
167	廒	ao2
168	滶	ao2
169	獒	ao2
170	獓	ao2
171	遨	ao2
172	摮	ao2
173	熬	ao2
174	璈	ao2
175	蔜	ao2
176	磝	ao2
177	翱	ao2
178	聱	ao2
179	螯	ao2
180	翶	ao2
181	謷	ao2
182	翺	ao2
183	鳌	ao2
184	鏖	ao2
185	鰲	ao2
186	鷔	ao2
187	鼇	ao2
188	抝	ao3
189	抝	ao4
190	抝	niu4
191	芺	tian1
192	拗	ao3
193	拗	ao4
194	拗	niu4
195	袄	ao3
196	媪	ao3
197	镺	ao4
198	媼	ao3
199	襖	ao3
200	岙	ao4
201	扷	ao4
202	岰	ao4
203	傲	ao4
204	奡	ao4
205	奥	ao4
206	嫯	ao4
207	慠	ao4
208	骜	ao4
209	奧	ao4
210	澚	ao4
211	墺	ao4
212	嶴	ao4
213	澳	ao4
214	懊	ao4
215	擙	ao4
216	謸	ao2
217	鏊	ao4
218	驁	ao4
219	八	ba1
220	㈧	ba1
221	仈	ba1
222	巴	ba1
223	叭	ba1
224	扒	ba1
225	扒	pa2
226	朳	ba1
227	玐	ba1
228	吧	ba0
229	夿	ba1
230	夿	pa1
231	岜	ba1
232	芭	ba1
233	疤	ba1
234	哵	ba1
235	捌	ba1
236	笆	ba1
237	粑	ba1
238	紦	ba1
239	羓	ba1
240	蚆	ba1
241	釟	ba1
242	豝	ba1
243	鲃	ba4
244	魞	ba1
245	叐	ba2
246	犮	ba2
247	抜	ba2
248	坺	ba2
249	妭	ba2
250	拔	ba2
251	茇	ba2
252	炦	ba2
253	癹	po1
254	胈	ba2
255	釛	he2
256	菝	ba2
257	詙	ba2
258	跋	ba2
259	軷	ba2
260	颰	ba2
261	魃	ba2
262	墢	ba2
263	鼥	ba2
264	把	ba3
265	钯	ba3
266	鈀	ba3
267	靶	ba3
268	坝	ba4
269	弝	ba4
270	爸	ba4
271	垻	ba4
272	罢	ba4
273	跁	ba4
274	鲅	ba4
275	罷	ba4
276	鮁	ba4
277	覇	ba4
278	矲	bai3
279	霸	ba4
280	壩	ba4
281	灞	ba4
282	欛	ba4
283	挀	bo4
284	掰	bai1
285	白	bai2
286	百	bai3
287	佰	bai3
288	栢	bai3
289	捭	bai3
290	竡	bai3
291	絔	bo2
292	摆	bai3
293	擺	bai3
294	襬	bai3
295	呗	bei0
296	庍	bai4
297	拝	bai4
298	败	bai4
299	拜	bai4
300	唄	bai4
301	敗	bai4
302	猈	bai4
303	稗	bai4
304	粺	bai4
305	鞁	bei4
306	薭	bai4
307	贁	bai4
308	韛	bai4
309	扳	ban1
310	攽	ban1
311	朌	ban1
312	班	ban1
313	般	ban1
314	颁	ban1
315	斑	ban1
316	搬	ban1
317	斒	ban1
318	頒	ban1
319	瘢	ban1
320	螁	ban1
321	螌	ban1
322	褩	ban1
323	癍	ban1
324	辬	ban1
325	阪	ban3
326	坂	ban3
327	岅	ban3
328	昄	ban3
329	板	ban3
330	版	ban3
331	瓪	ban3
332	钣	ban3
333	粄	ban3
334	舨	ban3
335	鈑	ban3
336	蝂	ban3
337	魬	ban4
338	闆	ban3
339	办	ban4
340	半	ban4
341	伴	ban4
342	扮	ban4
343	姅	ban4
344	怑	ban4
345	拌	ban4
346	绊	ban4
347	秚	ban4
348	湴	bian4
349	絆	ban4
350	鉡	ban4
351	靽	ban4
352	辦	ban4
353	瓣	ban4
354	邦	bang1
355	峀	bang1
356	垹	bang1
357	帮	bang1
358	捠	bang1
359	梆	bang1
360	浜	bang1
361	邫	bang1
362	幇	bang1
363	幚	bang1
364	縍	bang1
365	幫	bang1
366	鞤	bang1
367	绑	bang3
368	綁	bang3
369	榜	bang3
370	牓	bang3
371	膀	bang3
372	玤	bang4
373	蚌	bang4
374	蚌	beng4
375	傍	bang4
376	棒	bang4
377	硥	bang4
378	谤	bang4
379	塝	bang4
380	徬	pang2
381	稖	bang4
382	蒡	bang4
383	蜯	bang4
384	磅	bang4
385	磅	pang2
386	镑	bang4
387	艕	bang3
388	謗	bang4
389	鎊	bang4
390	勹	bao1
391	包	bao1
392	佨	bao1
393	孢	bao1
394	苞	bao1
395	胞	bao1
396	剝	bao1
397	笣	bao1
398	煲	bao1
399	龅	bao1
400	蕔	bao1
401	褒	bao1
402	闁	bao1
403	襃	bao1
404	齙	bao1
405	窇	bao2
406	嫑	bao2
407	雹	bao2
408	宝	bao3
409	怉	bao3
410	饱	bao3
411	保	bao3
412	鸨	bao3
413	珤	bao3
414	堡	bao3
415	堢	bao3
416	媬	bao3
417	葆	bao3
418	寚	bao3
419	飹	liu3
420	飽	bao3
421	褓	bao3
